id;code;description;unit;fractioned;barcode;internal_barcode;supplier_code;model;part_number;brand_code;inventory_enabled;inventory_minimum;inventory_maximum;inventory_negative;cost;cost_based;utility;utility2;utility3;price;price2;price3;sell_price;sell_price2;sell_price3;ask_price;pred_discount;max_sale_discount;on_sale;is_active;consignment;generic;image;observations;department;subdepartment;use_taxes;taxes;tax_code;use_taxes2;taxes2;tax_code2;use_taxes3;taxes3;tax_code3;created;updated
ec5d756d-b69f-4da0-a673-bba96acfc156;70165;FILTRO AGUA REF SAMSUNG WSS-2 DA29-00020A DA29-00020B (ORG);UND;0;;;DA29-00020B; RSA1JTPE DA45-00020B DA97-08006A-B;;;1.00;1.00;3.00;0.00;44660.00;;45.00;45.00;;64159.29;64159.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
beed048c-3472-4f7d-a354-9f821c5ab749;70166;SWITCH TAPA LAV SAMS (SW10C1SPIW, WA13VPWIP);UND;0;;;DC96-00156K;?;;;1.00;1.00;3.00;0.00;4610.62;;45.00;45.00;;7522.12;7522.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
08a8b231-4664-4fe8-b4c6-22a4002d47fd;70167;RESIST REF SAMSUNG CONGELADOR MOD. SR40 NMB-RMB;UND;0;;;DA59-00040N;?;;;1.00;1.00;2.00;0.00;25500.00;;45.00;45.00;;35840.71;35840.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
b845286d-4667-4e4c-8961-e343e56d2288;70168;MOTOR ABANICO REF SAMSUNG 110V 50/60HZ;UND;0;;;1410.02W;?;;;1.00;1.00;3.00;0.00;2736193.00;;45.00;45.00;;3938.05;3938.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
7da2d349-24cc-432b-8b4b-23893ed49f09;70169;TARJETA LAV SAMSUNG MOD WD-6102RBW (DC26-00028B) DESCON;UND;0;;;DC26-00028B;?;;;1.00;1.00;2.00;0.00;70941.00;;45.00;45.00;;99557.52;99557.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
f5fe25d6-21a8-4fef-a626-434cb5a42dd7;70170;TARJETA LAV SAMSUNG MOD WA17X7 / WA15X7RPD DESCONTINUADA;UND;0;;;DC92-00318A;?;;;1.00;1.00;3.00;0.00;24809.85;;45.00;45.00;;37610.62;37610.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
0b8b8b06-c272-41b1-91b7-5b78d3a41621;70171;MEMBRANA MICR SAMSUNG AGE613 (DE34-000246E);UN;0;;;DE34-000246E;AGE613;;;1.00;1.00;6.00;0.00;7635398.00;;45.00;45.00;;11061.95;11061.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
ebe9cb45-e2ce-4fd2-9825-6c47d785b6d9;70172;BATERIA PASTILLA 3V LITHIUM CR2016;UND;0;;;CR2016;CR2016;;;1.00;2.00;12.00;0.00;1566781.00;;45.00;45.00;;420.35;420.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
8e620607-7d00-410b-9196-04ee02b19664;70173;BATERIA PASTILLA 3V LITHIUM CR2025;UND;0;;;CR2025;CR2025;;;1.00;2.00;12.00;0.00;1607404.00;;45.00;45.00;;305.31;305.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
5fb3a6bd-2472-410f-9e1b-a8afb702e035;70174;"BATERIA ALKALINA GP ""D""";UND;0;;;4520098;?;;;1.00;2.00;6.00;0.00;1255.50;;45.00;45.00;;1792.04;1792.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
f519ebd8-d919-4c29-a7d4-21e79e27cd0b;70175;"BATERIA ALKALINA GP ""C""";UND;0;;;4520123;?;;;1.00;1.00;6.00;0.00;985.50;;45.00;45.00;;1460.18;1460.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
10db516a-df03-4f4a-80e0-49241420d700;70176;CARGADOR BATERIAS AA-AAA-C-D 9V;UND;0;;;MV-398;?;;;1.00;1.00;3.00;0.00;4541693.00;;45.00;45.00;;6637.17;6637.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
b760f425-e426-405c-acfb-f4ef006d4246;70177;FILTRO AGUA REF SAMSUNG WSS-2 DA29-00020A DA29-00020B (GEN);UND;0;;;DA29-00020A;DA29-00019A / DA2900020B / DA97-08006A-B;;;1.00;1.00;3.00;0.00;14316.96;;45.00;45.00;;22566.37;22566.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
08e3ff07-ccb9-4311-a407-23c62f97c9b0;70178;BATERIA CUADRADA 6V C/RESORTE VOLTECH-TRUPPER;UND;0;;;12337;6V;;;1.00;1.00;3.00;0.00;1399008.00;;45.00;45.00;;2035.40;2035.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
e1181fb5-e79a-4e04-b89b-12578722e4d0;70179;BATERIA CUADRADA 6V C/TORNILLO VOLTECH-TRUPPER;UND;0;;;12336;6V;;;1.00;1.00;3.00;0.00;1105.00;;45.00;45.00;;1946.90;1946.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
