id;code;name;province_code;canton_code;district_code
394;3;Damasco;1;3;12
395;4;Diamante;1;3;12
396;5;Esmeraldas;1;3;12
397;6;Fortuna;1;3;12
398;7;Fortunita;1;3;12
399;8;Porvenir;1;3;12
400;9;Raya;1;3;12
401;10;Riberalta;1;3;12
402;11;Villanueva.;1;3;12
403;1;Letras;1;3;13
404;2;Balcón Verde.;1;3;13
405;1;Ángeles;1;4;1
406;2;Buenos Aires;1;4;1
407;3;Corazón de María;1;4;1
408;4;Jarasal;1;4;1
409;5;Junquillo Arriba;1;4;1
410;6;Pueblo Nuevo;1;4;1
411;7;San Isidro.;1;4;1
412;1;Bajo Badilla;1;4;1
413;2;Bajo Moras;1;4;1
414;3;Cañales Abajo;1;4;1
415;4;Cañales Arriba;1;4;1
416;5;Carit;1;4;1
417;6;Charcón (parte);1;4;1
418;7;Cirrí;1;4;1
419;8;Junquillo Abajo;1;4;1
420;9;Pozos;1;4;1
421;10;San Francisco;1;4;1
422;11;San Martín;1;4;1
423;12;Zapote.;1;4;1
424;1;Alto Palma;1;4;2
425;2;Bajo Lanas;1;4;2
426;3;Bajo Legua;1;4;2
427;4;Bajo Legüita;1;4;2
428;5;Bajo Quesada;1;4;2
429;6;Bocana;1;4;2
430;7;Carmona;1;4;2
431;8;Cerbatana;1;4;2
432;9;Charquillos;1;4;2
433;10;Jilgueral;1;4;2
434;11;Llano Grande;1;4;2
435;12;Mercedes Norte;1;4;2
436;13;Potenciana;1;4;2
437;14;Quebrada Honda;1;4;2
438;15;Quivel;1;4;2
439;16;Rancho Largo;1;4;2
440;17;Salitrales;1;4;2
441;18;Santa Marta;1;4;2
442;19;Túfares;1;4;2
443;20;Tulín;1;4;2
444;21;Víbora;1;4;2
445;22;Zapotal.;1;4;2
446;1;Alto Barbacoas;1;4;3
447;2;Bajo Burgos;1;4;3
448;3;Cortezal;1;4;3
449;4;Guatuso;1;4;3
450;5;Piedades;1;4;3
451;6;San Juan.;1;4;3
452;1;Cacao;1;4;4
453;2;Cuesta Mora;1;4;4
454;3;Grifo Bajo;1;4;4
455;4;Poró;1;4;4
456;5;Pueblo Nuevo;1;4;4
457;6;Salitrillo.;1;4;4
458;1;Bijagual;1;4;5
459;2;Floralia;1;4;5
460;3;Punta de Lanza;1;4;5
461;4;San Rafael Abajo.;1;4;5
462;1;Alto Cebadilla;1;4;6
463;2;Bajo Chacones;1;4;6
464;3;Copalar;1;4;6
465;4;Pedernal;1;4;6
466;5;Polca;1;4;6
467;6;Sabanas.;1;4;6
468;1;Bajo Guevara;1;4;7
469;2;Planta;1;4;7
470;3;Rinconada.;1;4;7
471;1;Bajo Herrera;1;4;8
472;2;Calle Herrera;1;4;8
473;3;Cruce Guanacaste;1;4;8
474;4;Charcón (parte);1;4;8
475;5;Estero;1;4;8
476;6;Río Viejo;1;4;8
477;7;Salitral;1;4;8
478;8;Tinamaste.;1;4;8
479;1;Alto Concepción;1;4;9
480;2;Alto Pérez Astúa;1;4;9
481;3;Ángeles;1;4;9
482;4;Angostura (parte);1;4;9
483;5;Arenal;1;4;9
484;6;Bajo Chires;1;4;9
485;7;Bajo de Guarumal;1;4;9
486;8;Bajo el Rey;1;4;9
487;9;Bajo Vega;1;4;9
488;10;Cerdas;1;4;9
489;11;Fila Aguacate;1;4;9
490;12;Gamalotillo 1 (Colonia);1;4;9
491;13;Gamalotillo 2 (Gamalotillo);1;4;9
492;14;Gamalotillo 3 (Tierra Fértil);1;4;9
493;15;Gloria;1;4;9
494;16;Guarumal;1;4;9
495;17;Guarumalito;1;4;9
496;18;Mastatal;1;4;9
497;19;Pericos;1;4;9
498;20;Río Negro (parte);1;4;9
499;21;San Miguel;1;4;9
500;22;San Vicente;1;4;9
501;23;Santa Rosa;1;4;9
502;24;Vista de Mar;1;4;9
503;25;Zapatón.;1;4;9
504;1;Corea;1;5;1
505;2;I Griega;1;5;1
506;3;Las Tres Marías;1;5;1
507;4;Santa Cecilia;1;5;1
508;5;Rodeo;1;5;1
509;6;Sitio.;1;5;1
510;7;Alto Pastora;1;5;1
511;8;Bajo Canet;1;5;1
512;9;Bajo San Juan;1;5;1
513;10;Canet;1;5;1
514;11;Cedral (parte);1;5;1
515;12;Guadalupe;1;5;1
516;13;Llano Piedra;1;5;1
517;14;San Cayetano;1;5;1
518;15;San Guillermo;1;5;1
519;16;Sabana (parte);1;5;1
520;17;San Pedro.;1;5;1
521;1;Alto Guarumal;1;5;2
522;2;Alto Portal;1;5;2
523;3;Alto Zapotal;1;5;2
524;4;Ardilla;1;5;2
525;5;Bajo Quebrada Honda;1;5;2
526;6;Bajo Reyes;1;5;2
527;7;Bajo Zapotal;1;5;2
528;8;Cerro Nara;1;5;2
529;9;Concepción;1;5;2
530;10;Chilamate;1;5;2
531;11;Delicias;1;5;2
532;12;Esperanza;1;5;2
533;13;Esquipulas;1;5;2
534;14;La Pacaya;1;5;2
535;15;Las Pavas;1;5;2
536;16;Mata de Caña;1;5;2
537;17;Miramar;1;5;2
538;18;Nápoles;1;5;2
539;19;Naranjillo;1;5;2
540;20;Palma;1;5;2
541;21;Quebrada Arroyo;1;5;2
542;22;Rodeo;1;5;2
543;23;Sabana (parte);1;5;2
544;24;Salado;1;5;2
545;25;San Bernardo;1;5;2
546;26;San Francisco;1;5;2
547;27;San Martín;1;5;2
548;28;Santa Cecilia;1;5;2
549;29;Santa Marta;1;5;2
550;30;Santa Rosa;1;5;2
551;31;Zapotal.;1;5;2
552;1;Alto Chiral;1;5;3
553;2;San Juan (Alto San Juan);1;5;3
554;3;Bajo Jénaro;1;5;3
555;4;Bajo San José;1;5;3
556;5;Jamaica;1;5;3
557;6;Quebrada Seca (Santa Ana);1;5;3
558;7;San Jerónimo;1;5;3
559;8;San Josecito.;1;5;3
560;1;Guatuso;1;6;1
561;2;Mirador.;1;6;1
562;3;Alfonso XIII;1;6;1
563;4;Barro;1;6;1
564;5;Cinco Esquinas (parte);1;6;1
565;6;Corazón de Jesús;1;6;1
566;7;Guapinol;1;6;1
567;8;Las Mercedes;1;6;1
568;9;Lomas de Aserrí;1;6;1
569;10;Lourdes;1;6;1
570;11;María Auxiliadora;1;6;1
571;12;Mesas;1;6;1
572;13;Poás;1;6;1
573;14;Santa Rita;1;6;1
574;15;Sáurez;1;6;1
575;16;Tres Marías;1;6;1
576;17;Vereda.;1;6;1
577;1;Bajos de Praga;1;6;2
578;2;Máquina Vieja;1;6;2
579;3;Tigre.;1;6;2
580;1;Calvario;1;6;3
581;2;Ceiba Alta (parte);1;6;3
582;3;Jocotal;1;6;3
583;4;Legua de Naranjo;1;6;3
584;5;Mangos;1;6;3
585;6;Meseta;1;6;3
586;7;Monte Redondo;1;6;3
587;8;Ojo de Agua;1;6;3
588;9;Rosalía;1;6;3
589;10;Uruca.;1;6;3
590;1;Pueblo Nuevo.;1;6;4
591;1;La Fila (parte);1;6;4
592;2;Limonal;1;6;4
593;3;Los Solano;1;6;4
594;4;Rancho Grande;1;6;4
595;5;Salitral;1;6;4
596;6;Tranquerillas;1;6;4
597;7;Trinidad (parte);1;6;4
598;8;Villanueva.;1;6;4
599;1;Alto Buenavista;1;6;5
600;2;Altos del Aguacate;1;6;5
601;3;Bajo Bijagual;1;6;5
602;4;Bajo Máquinas;1;6;5
603;5;Bajo Venegas (parte);1;6;5
604;6;Carmen (parte).;1;6;5
605;1;Ojo de Agua (parte);1;6;6
606;2;Portuguez.;1;6;6
607;1;Cinco Esquinas (parte);1;6;7
608;2;Santa Teresita.;1;6;7
609;3;Cerro;1;6;7
610;4;Cuesta Grande;1;6;7
611;5;Guinealillo;1;6;7
612;6;Huaso (parte);1;6;7
613;7;Lagunillas;1;6;7
614;8;Palo Blanco;1;6;7
615;9;Quebradas;1;6;7
616;10;Rincón.;1;6;7
617;1;Alhambra;1;7;1
618;2;Brasil;1;7;1
619;3;Carreras;1;7;1
620;4;Colonia del Prado;1;7;1
621;5;Michoacán;1;7;1
622;6;Nuevo Brasil;1;7;1
623;7;Piñal;1;7;1
624;8;San Bosco;1;7;1
625;9;San Vicente;1;7;1
626;10;Tablera.;1;7;1
627;1;Cabriola;1;7;1
628;2;Cedral;1;7;1
629;3;Cuesta Achiotal;1;7;1
630;4;Llano León;1;7;1
631;5;Llano Limón;1;7;1
632;6;Quebrada Honda;1;7;1
633;7;Rodeo;1;7;1
634;8;Santísima Trinidad;1;7;1
635;9;Ticufres.;1;7;1
636;1;Bajo Claras;1;7;2
637;2;Bajo Morado;1;7;2
638;3;Corrogres;1;7;2
639;4;Monte Negro.;1;7;2
640;1;Bajo Bustamante;1;7;3
641;2;Bajo Lima;1;7;3
642;3;Bajo Loaiza;1;7;3
643;4;Cañas;1;7;3
644;5;Corralar;1;7;3
645;6;Morado;1;7;3
646;7;Piedras Blancas;1;7;3
647;8;Salto.;1;7;3
648;1;Chile;1;7;4
649;2;Danta;1;7;4
650;3;Palma;1;7;4
651;4;Quebrada Grande.;1;7;4
652;1;Cordel;1;7;5
653;2;Chucás;1;7;5
654;3;Jateo;1;7;5
655;4;Llano Grande;1;7;5
656;5;Monte Frío (Potrerillos).;1;7;5
657;1;Pito.;1;7;6
658;1;San Juan;1;7;7
659;2;San Martín;1;7;7
660;3;Quebrada Honda.;1;7;7
661;1;Árboles;1;8;1
662;2;Colonia del Río;1;8;1
663;3;El Alto (parte);1;8;1
664;4;Fátima;1;8;1
665;5;Independencia;1;8;1
666;6;Jardín;1;8;1
667;7;Magnolia;1;8;1
668;8;Maravilla;1;8;1
669;9;Margarita;1;8;1
670;10;Minerva;1;8;1
671;11;Moreno Cañas;1;8;1
672;12;Orquídea;1;8;1
673;13;Pilar Jiménez;1;8;1
674;14;Rothe;1;8;1
675;15;San Gerardo;1;8;1
676;16;Santa Cecilia;1;8;1
677;17;Santa Eduvigis;1;8;1
678;18;Santo Cristo;1;8;1
679;19;Unión;1;8;1
680;20;Yurusti.;1;8;1
681;1;Carlos María Ulloa;1;8;2
682;2;San Francisco (centro);1;8;2
683;3;Tournón.;1;8;2
684;1;Calle Blancos (centro);1;8;3
685;2;Ciprés;1;8;3
686;3;Encanto;1;8;3
687;4;Esquivel Bonilla;1;8;3
688;5;Montelimar;1;8;3
689;6;Pinos;1;8;3
690;7;San Antonio;1;8;3
691;8;San Gabriel;1;8;3
692;9;Santo Tomás;1;8;3
693;10;Volio.;1;8;3
694;1;Bruncas;1;8;4
695;2;Carmen;1;8;4
696;3;Claraval;1;8;4
697;4;Cruz;1;8;4
698;5;Cuesta Grande (parte);1;8;4
699;6;Estéfana (parte);1;8;4
700;7;Hortensias;1;8;4
701;8;Jaboncillal;1;8;4
702;9;Jardines de la Paz;1;8;4
703;10;Lourdes;1;8;4
704;11;Praderas;1;8;4
705;12;Tepeyac;1;8;4
706;13;Térraba;1;8;4
707;14;Villalta;1;8;4
708;15;Villaverde;1;8;4
709;16;Vista del Valle.;1;8;4
710;1;Ángeles;1;8;5
711;2;El Alto (parte);1;8;5
712;3;Floresta;1;8;5
713;4;Korobó;1;8;5
714;5;La Mora;1;8;5
715;6;Morita;1;8;5
716;7;Mozotal;1;8;5
717;8;Nazareno;1;8;5
718;9;Orquídea;1;8;5
719;10;Rodrigo Facio;1;8;5
720;11;Santa Clara (parte);1;8;5
721;12;Setillal;1;8;5
722;13;Vista del Monte.;1;8;5
723;1;Mirador.;1;8;6
724;2;Corralillo;1;8;6
725;3;Guayabillos;1;8;6
726;4;Isla;1;8;6
727;5;San Miguel;1;8;6
728;5;Vista de Mar.;1;8;6
729;1;Ana Frank;1;8;7
730;2;Castores;1;8;7
731;3;Cuadros;1;8;7
732;4;Don Carlos;1;8;7
733;5;El Alto (parte);1;8;7
734;6;Flor de Liz;1;8;7
735;7;Kurú;1;8;7
736;8;Lomas de Tepeyac;1;8;7
737;9;Lupita;1;8;7
738;10;Montesol;1;8;7
739;11;Nogales;1;8;7
740;12;Pueblo;1;8;7
741;13;Violetas.;1;8;7
742;1;Aguas Lindas;1;9;1
743;2;Cabañas;1;9;1
