id;code;name;province_code;canton_code
391;3;CHOMES;6;1
392;4;LEPANTO;6;1
393;5;PAQUERA;6;1
394;6;MANZANILLO;6;1
395;7;GUACIMAL;6;1
396;8;BARRANCA;6;1
397;9;MONTE VERDE;6;1
398;11;CÓBANO;6;1
399;12;CHACARITA;6;1
400;13;CHIRA;6;1
401;14;ACAPULCO;6;1
402;15;EL ROBLE;6;1
403;16;ARANCIBIA;6;1
404;1;ESPÍRITU SANTO;6;2
405;2;SAN JUAN GRANDE;6;2
406;3;MACACONA;6;2
407;4;SAN RAFAEL;6;2
408;5;SAN JERÓNIMO;6;2
409;6;CALDERA;6;2
410;1;BUENOS AIRES;6;3
411;2;VOLCÁN;6;3
412;3;POTRERO GRANDE;6;3
413;4;BORUCA;6;3
414;5;PILAS;6;3
415;6;COLINAS;6;3
416;7;CHÁNGUENA;6;3
417;8;BIOLLEY;6;3
418;9;BRUNKA;6;3
419;1;MIRAMAR;6;4
420;2;LA UNIÓN;6;4
421;3;SAN ISIDRO;6;4
422;1;PUERTO CORTÉS;6;5
423;2;PALMAR;6;5
424;3;SIERPE;6;5
425;4;BAHÍA BALLENA;6;5
426;5;PIEDRAS BLANCAS;6;5
427;6;BAHÍA DRAKE;6;5
428;1;QUEPOS;6;6
429;2;SAVEGRE;6;6
430;3;NARANJITO;6;6
431;1;GOLFITO;6;7
432;2;PUERTO JIMÉNEZ;6;7
433;3;GUAYCARÁ;6;7
434;4;PAVÓN;6;7
435;1;SAN VITO;6;8
436;2;SABALITO;6;8
437;3;AGUABUENA;6;8
438;4;LIMONCITO;6;8
439;5;PITTIER;6;8
440;6;GUTIERREZ BRAUN;6;8
441;1;PARRITA;6;9
442;1;CORREDOR;6;10
443;2;LA CUESTA;6;10
444;3;CANOAS;6;10
445;4;LAUREL;6;10
446;1;JACÓ;6;11
447;2;TÁRCOLES;6;11
448;1;LIMÓN;7;1
449;2;VALLE LA ESTRELLA;7;1
450;4;MATAMA;7;1
451;1;GUÁPILES;7;2
452;2;JIMÉNEZ;7;2
453;3;RITA;7;2
454;4;ROXANA;7;2
455;5;CARIARI;7;2
456;6;COLORADO;7;2
457;7;LA COLONIA;7;2
458;1;SIQUIRRES;7;3
459;2;PACUARITO;7;3
460;3;FLORIDA;7;3
461;4;GERMANIA;7;3
462;5;EL CAIRO;7;3
463;6;ALEGRÍA;7;3
464;1;BRATSI;7;4
465;2;SIXAOLA;7;4
466;3;CAHUITA;7;4
467;4;TELIRE;7;4
468;1;MATINA;7;5
469;2;BATÁN;7;5
470;3;CARRANDI;7;5
471;1;GUÁCIMO;7;6
472;2;MERCEDES;7;6
473;3;POCORA;7;6
474;4;RÍO JIMÉNEZ;7;6
475;5;DUACARÍ;7;6
